id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
842171,"Executive Downtwn Contemporary 2BR Groundfloor
Apt",984791,Carol,,Mountain View,37.39441,-122.08887,Entire home/apt,225,2,188,2020-05-21,2.11,4,307
877625,2BR / 1 Bath - Near Castro/DT Mtn View and 85/101,42458,Emey,,Mountain View,37.37441,-122.06322,Entire home/apt,140,1,7,2019-01-14,0.08,12,180
881146,Modern Downtown Los Gatos Apartment,869903,Danielle,,Los Gatos,37.22075,-121.97667,Entire home/apt,313,30,17,2019-07-24,0.19,1,173
890904,HackerHome - Sunnyvale Private Room,43806,Vic,,Sunnyvale,37.38727,-122.02593,Private room,99,30,13,2018-08-26,0.15,49,365
890914,HackerHome - Santa Clara: bunk 1a,43806,Vic,,Sunnyvale,37.38732,-122.02578,Shared room,50,5,18,2016-11-05,0.20,49,365
913205,Best for International visitor,2350552,Shoukri,,Morgan Hill,37.1338,-121.66622,Private room,55,3,1,2014-03-14,0.01,1,365
922716,2nd Floor Private Bedroom I,4961460,Peter,,Palo Alto,37.40668,-122.1232,Private room,85,3,70,2020-01-29,0.92,3,365
928099,Spanish Style Charmer Convenient To All Freeways,4934521,Abbi,,Mountain View,37.37344,-122.06639,Private room,128,1,23,2019-06-03,0.26,1,365
931674,HackerHome - Downtown Mountain View: Castro Street,43806,Vic,,Mountain View,37.39416,-122.08212,Shared room,35,30,40,2019-10-16,0.45,49,1
931680,HackerHome - Sunnyvale: bunk 2,43806,Vic,,Sunnyvale,37.38851,-122.02434,Shared room,35,30,18,2019-08-04,0.20,49,365
937489,HackerHome - Sunnyvale: female only room,43806,Vic,,Sunnyvale,37.38638,-122.02571,Shared room,35,30,22,2020-01-26,0.25,49,365
938353,"Quiet, cozy room in a great location",5068283,Gilda,,Mountain View,37.39386,-122.09032,Private room,45,3,31,2018-08-12,0.38,5,295
943009,Luxurious Single Family House,5101079,Kayvan,,San Jose,37.42034,-121.85687,Entire home/apt,315,14,4,2018-11-03,0.08,1,365
946094,Home in the heart of Silicon Valley,5126740,Martin,,Sunnyvale,37.3545,-122.0007,Private room,75,3,67,2020-03-15,0.76,2,0
951806,Nice clean room in heart of SV,4532099,Chida,,Sunnyvale,37.39632,-122.00229,Private room,79,2,106,2020-02-14,1.20,2,0
969522,Palo Alto/Stanford Garden Hideaway,771434,Cecile,,Palo Alto,37.42493,-122.14095,Entire home/apt,220,4,28,2018-07-27,0.33,1,311
