id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16055492,Cozy Guest House in Division-Clinton neighborhood,101244616,Greg And Sharon,,Hosford-Abernethy,45.49997,-122.63679,Entire home/apt,133,2,148,2020-06-10,3.42,1,1
16072598,Spacious Loft in the Heart of Southeast PDX,2673359,Nathan,,Richmond,45.49997,-122.62546,Entire home/apt,62,2,175,2020-02-23,4.00,1,0
16123022,"Little Blue House PDX / Private, Bright & Eco",672152,Maura,,Hosford-Abernethy,45.50691,-122.65305,Entire home/apt,140,31,180,2020-05-16,4.18,1,8
16132722,Cozy Two Bedroom Downstairs Living Space,52170945,Carol,,Parkrose Heights,45.53531,-122.54097,Private room,275,1,44,2020-07-05,1.01,1,82
16132974,"Private apartment in bungalow, fireplace, 2 bikes",3289979,Alex & Ida,,Eliot,45.5462,-122.66137,Entire home/apt,99,2,202,2020-05-30,4.69,2,54
16135056,Laurelhurst gem - directly across from Park!,105257516,Kyra,,Laurelhurst,45.51962,-122.62565,Entire home/apt,95,2,83,2020-03-15,2.86,1,0
16135714,Cozy Private Apartment by the Park-Hawthorne Area,3901470,Jennifer,,Richmond,45.51051,-122.6343,Entire home/apt,70,1,446,2020-07-02,10.17,2,81
16146098,Cozy Private Dwelling in Cathedral Park / St Johns,39660315,Jenny,,Cathedral Park,45.58559,-122.7517,Entire home/apt,150,2,59,2019-08-18,1.40,1,40
16146782,Fantastic room for your extended stay needs,104296709,William,,Buckman,45.51454,-122.65286,Private room,41,30,1,2017-01-12,0.02,4,364
16156186,Giesy Flat - Historic NW 23rd Alphabet District,9775323,Shawn,,Northwest District,45.52797,-122.69747,Entire home/apt,179,30,70,2019-12-31,1.61,2,179
16159044,Waterfront dream home 10 min to PDX airport,57792832,Joi,,Argay,45.56589,-122.5189,Entire home/apt,110,6,24,2020-07-01,0.70,1,63
16159235,1 bedroom apartment - Portland's Best Neighborhood,2915808,Stephen,,Northwest District,45.52539,-122.69551,Entire home/apt,92,3,60,2020-03-15,1.49,11,324
16180362,"Extended stay room, close-in, w/ private bath, A/C",104296709,William,,Buckman,45.51466,-122.65286,Private room,46,30,0,,,4,363
16206854,Close-in room for your extended stay needs,104296709,William,,Buckman,45.5149,-122.65278,Private room,43,30,1,2017-08-07,0.03,4,363
