id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24129914,Private Apartment in Historic Victorian with Back Patio,33068864,Leslie,,Western Addition,37.78934,-122.42815,Entire home/apt,110,30,89,2020-07-31,3.19,2,326
24149977,Ocean Beach Retreat w/Private Entrance,2623502,Cindy,,Parkside,37.744,-122.50541,Entire home/apt,122,2,124,2020-09-03,5.05,1,323
24162068,Balmy Alley House,7426517,John,,Mission,37.75069,-122.41285,Entire home/apt,450,2,23,2020-03-08,1.08,3,0
24162999,Balmy Alley private room and bath,7426517,John,,Mission,37.75149,-122.41216,Private room,131,1,8,2019-07-07,0.30,3,0
24163232,Room with private deck on Balmy Alley,7426517,John,,Mission,37.75061,-122.41218,Private room,100,1,4,2020-02-29,0.14,3,0
24163891,Urban Beach House,154627043,Nan,,Outer Sunset,37.75705,-122.49841,Entire home/apt,160,2,6,2019-07-20,0.22,1,0
24177590,3 bedroom/2 bath house steps from the beach,3859373,Wendy,,Outer Sunset,37.74923,-122.50686,Entire home/apt,425,4,5,2019-08-03,0.18,1,0
24181120,"Sunny Marina flat, half block to the water",2701386,Kristen,,Marina,37.80495,-122.43808,Entire home/apt,300,30,18,2020-02-22,0.68,1,106
24183155,Spacious Cole Valley One Bedroom,1892430,Jan,,Haight Ashbury,37.76443,-122.44893,Entire home/apt,107,30,2,2020-01-29,0.08,33,250
24217373,Design apartment in the sunny Mission District,2264593,Marion,,Mission,37.75393,-122.40742,Entire home/apt,189,30,1,2018-06-08,0.04,1,0
24230206,Inspiring Skyline Views From a Hip Loft in SoMa,182682615,Eduardo,,South of Market,37.77577,-122.40693,Entire home/apt,444,2,31,2020-06-08,1.08,1,88
24233539,Apartment in Terrific Location with Parking,8329745,Alice,,North Beach,37.79963,-122.40653,Entire home/apt,200,30,5,2020-06-17,0.20,5,250
24249961,San Francisco (Noe Valley) Private Studio,19182902,Justin,,Noe Valley,37.74831,-122.43097,Entire home/apt,130,31,1,2019-07-19,0.07,1,0
24270270,Stunning Marina Condo with office or toddler room,10637033,Anthony,,Marina,37.80188,-122.429,Entire home/apt,250,30,0,,,1,38
