id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22292212,Darling 3BR DC Quiet & Safe Home 10 minutes Metro,46582948,Huxley,,"North Michigan Park, Michigan Park, University Heights",38.94592,-76.99246,Entire home/apt,180,4,73,2020-08-30,2.23,28,0
22300841,NEW Modern 1BR Garden Apt. in Classic DC Row House,116112352,Jenna,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93576,-77.03457,Entire home/apt,90,2,106,2020-09-12,3.15,1,111
22301184,1-BR DC Condo Close to Downtown & Union Station,3476577,Adrian,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91263,-77.00992,Entire home/apt,90,2,4,2018-10-22,0.13,1,0
22306566,Stylish loft in the best neighborhood in the city!,4870160,Zach,,"Shaw, Logan Circle",38.90969,-77.03301,Entire home/apt,121,3,40,2020-08-30,1.21,1,7
22307862,Spacious Studio with Patio,39254645,Meg,,"Dupont Circle, Connecticut Avenue/K Street",38.91867,-77.03645,Entire home/apt,118,3,20,2018-10-03,0.60,1,0
22308082,HOME AWAY FROM HOME - Chic 2 BDRM in Capitol Hill,140907869,Tony & April,,"Union Station, Stanton Park, Kingman Park",38.89259,-76.98943,Entire home/apt,139,3,141,2020-08-17,4.23,1,177
22308410,Modern Basement Suite Retreat in DC,101279,Kunti,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96955,-77.00867,Entire home/apt,100,2,8,2019-04-08,0.24,1,0
22323065,"❤ OF ADAMS MORGAN | w/ Private Deck, W/D & Parking",163198757,Erikka,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.921,-77.0434,Entire home/apt,168,1,77,2020-05-02,2.34,1,0
22326779,The Kensington Place 22-B.,65548398,Darryl,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91769,-77.00159,Entire home/apt,285,3,23,2020-09-05,0.75,6,247
22327372,"Private Master Bedroom Suite & Bath, Walk to Metro",132367741,Felipe,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93263,-77.03162,Private room,50,3,24,2020-03-09,0.80,1,324
