id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
458029,Oak Street Hangout...,2277128,Bonny And Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,99,30,89,2018-04-26,0.69,1,280,0,City registration pending
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.9294,-90.08436,Private room,140,1,733,2023-02-02,5.97,3,225,82,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
917965,"Prime garden district, parking. hi-speed internet",4900663,Karen,,Lower Garden District,29.93409,-90.07562,Entire home/apt,352,3,199,2023-03-06,1.62,3,250,37,"20str-10136, 20-OSTR-1013"
474197,Historic Home Close to Everything,2350989,Doby,,Treme - Lafitte,29.96587,-90.07053,Entire home/apt,310,2,59,2023-02-20,0.45,2,319,3,"18STR-18980, 18-OSTR-18980"
918511,Convenient Mid City Apartment,4931906,Todd & Kristi,,City Park,29.98117,-90.09053,Entire home/apt,135,30,213,2020-03-16,1.73,1,365,0,17STR-09029
921154,🏊🏻‍♂️Tropical Pool after Day N FRENCH QRT 🏳️‍🌈20STR-02763,4951914,Thom,,Marigny,29.966976,-90.050941,Entire home/apt,315,30,214,2023-02-23,2.73,4,128,44,"20STR-02763, 20-OSTR-02768"
542247,The Cristo,2156820,J,,Broadmoor,29.94627,-90.10059,Entire home/apt,264,3,122,2023-02-21,0.96,5,177,1,"22-RSTR-12004, 22-OSTR-12012"
925086,French Condo in the Warehouse District,1976003,Sebastien,,Central Business District,29.94697,-90.07035,Entire home/apt,200,30,71,2019-10-23,0.85,1,362,0,City registration pending
927954,Heart of New Orleans Walk to Parades,4993714,Mimsie,,Irish Channel,29.91879,-90.08473,Private room,123,28,95,2023-02-20,0.81,2,89,1,"20-STR-33234, 20-OSTR-33233"
931412,Historic Carriage House & Courtyard Walk to Parade,4993714,Mimsie,,East Riverside,29.91909,-90.08563,Entire home/apt,201,1,167,2023-02-22,1.65,2,358,10,"20STR-33234, 20-OSTR-33233"
561833,Half of The Okra Inn: On Canal Streetcar Line,2707644,Lindsay,,Mid-City,29.97461,-90.09815,Entire home/apt,2000,1,62,2023-02-16,0.50,15,132,33,"18STR-15438, 20-OSTR-02677"
938165,Sophisticated Styled Estate 40% Off Fall/Winter,4605202,Wayne,,Fairgrounds,29.9799,-90.08212,Entire home/apt,417,3,170,2023-03-06,1.42,3,0,9,"22-RSTR-05145, 22-OSTR-05140"
596410,"Luxury Home, Excellent Location",2948651,Brita,,Lower Garden District,29.93434,-90.07451,Entire home/apt,225,30,78,2019-11-24,0.63,1,0,0,17STR-13854
938262,"Elegant Uptown New Orleans, near Universities",5067495,Sarah Hansel,,Audubon,29.93421,-90.11811,Private room,114,30,6,2018-07-22,0.10,1,0,0,18STR-08517
